Project,SHA Detected,Module Path,Fully-Qualified Test Name (packageName.ClassName.methodName),Category,Status,PR Link,Merged Commit Sha,# of Commits,Issue ID,Notes,JUnit Version
https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.ExhaustingAGivenSetButIncludingAnotherTest.primitiveBytes,NIO,Accepted,https://github.com/pholser/junit-quickcheck/pull/357,bd500ce03f40fc1a306b7300b9cab3fc5f0c0485,1,,,
https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.ExhaustingAGivenSetButIncludingAnotherTest.primitiveChars,NIO,Accepted,https://github.com/pholser/junit-quickcheck/pull/361,73439e95e5efd69a428cdcbe8dca089b3c54dc1c,1,,,
https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.ExhaustingAGivenSetButIncludingAnotherTest.primitiveDoubles,NIO,Accepted,https://github.com/pholser/junit-quickcheck/pull/361,73439e95e5efd69a428cdcbe8dca089b3c54dc1c,1,,,
https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.ExhaustingAGivenSetButIncludingAnotherTest.primitiveFloats,NIO,Accepted,https://github.com/pholser/junit-quickcheck/pull/361,73439e95e5efd69a428cdcbe8dca089b3c54dc1c,1,,,
https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.ExhaustingAGivenSetButIncludingAnotherTest.primitiveIntegers,NIO,Accepted,https://github.com/pholser/junit-quickcheck/pull/361,73439e95e5efd69a428cdcbe8dca089b3c54dc1c,1,,,
https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.ExhaustingAGivenSetButIncludingAnotherTest.primitiveLongs,NIO,Accepted,https://github.com/pholser/junit-quickcheck/pull/361,73439e95e5efd69a428cdcbe8dca089b3c54dc1c,1,,,
https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.ExhaustingAGivenSetButIncludingAnotherTest.primitiveShorts,NIO,Accepted,https://github.com/pholser/junit-quickcheck/pull/361,73439e95e5efd69a428cdcbe8dca089b3c54dc1c,1,,,
https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.ExhaustingAGivenSetButIncludingAnotherTest.strings,NIO,Accepted,https://github.com/pholser/junit-quickcheck/pull/361,73439e95e5efd69a428cdcbe8dca089b3c54dc1c,1,,,
https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.ExhaustingAGivenSetButIncludingAnotherTest.wrapperBooleans,NIO,Accepted,https://github.com/pholser/junit-quickcheck/pull/361,73439e95e5efd69a428cdcbe8dca089b3c54dc1c,1,,,
https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.ExhaustingAGivenSetButIncludingAnotherTest.wrapperBytes,NIO,Accepted,https://github.com/pholser/junit-quickcheck/pull/361,73439e95e5efd69a428cdcbe8dca089b3c54dc1c,1,,,
https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.ExhaustingAGivenSetButIncludingAnotherTest.wrapperChars,NIO,Accepted,https://github.com/pholser/junit-quickcheck/pull/361,73439e95e5efd69a428cdcbe8dca089b3c54dc1c,1,,,
https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.ExhaustingAGivenSetButIncludingAnotherTest.wrapperDoubles,NIO,Accepted,https://github.com/pholser/junit-quickcheck/pull/361,73439e95e5efd69a428cdcbe8dca089b3c54dc1c,1,,,
https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.ExhaustingAGivenSetButIncludingAnotherTest.wrapperFloats,NIO,Accepted,https://github.com/pholser/junit-quickcheck/pull/361,73439e95e5efd69a428cdcbe8dca089b3c54dc1c,1,,,
https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.ExhaustingAGivenSetButIncludingAnotherTest.wrapperIntegers,NIO,Accepted,https://github.com/pholser/junit-quickcheck/pull/361,73439e95e5efd69a428cdcbe8dca089b3c54dc1c,1,,,
https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.ExhaustingAGivenSetButIncludingAnotherTest.wrapperLongs,NIO,Accepted,https://github.com/pholser/junit-quickcheck/pull/361,73439e95e5efd69a428cdcbe8dca089b3c54dc1c,1,,,
https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.ExhaustingAGivenSetButIncludingAnotherTest.wrapperShorts,NIO,Accepted,https://github.com/pholser/junit-quickcheck/pull/361,73439e95e5efd69a428cdcbe8dca089b3c54dc1c,1,,,
